No.,Subject,Group,Section,Review,Sentiment,Score,Sentiment_Score
90,GFW0031,1,C - C1,Okay,positive,0.681684256,4
91,GFW0031,3,A - A1,NO,positive,0.614511788,4
92,GFW0031,3,A - A1,NO,positive,0.614511788,4
93,GFW0031,3,B - B1,NO,positive,0.614511788,4
94,GFW0031,3,B - B1,"Since network is not my major, getting feedback from dr is very important for me. i did emailed the dr for feedback for my assignment, but up until now there is no reply. Please improve.",negative,0.005002836,1
95,GFW0031,3,B - B1,NO,positive,0.614511788,4
96,GFW0031,3,B - B1,"Since network is not my major, getting feedback from dr is very important for me. i did emailed the dr for feedback for my assignment, but up until now there is no reply. Please improve.",negative,0.005002836,1
97,GFW0031,3,C - C1,NO,positive,0.614511788,4
98,GFW0031,3,C - C1,NO,positive,0.614511788,4
99,GFW0031,4,A - A1,-,positive,0.66110009,4
100,GFW0031,4,A - A1,Simplify the contents and assignments of this course. I feel like they are quite heavy for a SHE course and a small credit.,negative,0.326825529,2
101,GFW0031,4,A - A1,"The course is too extensive , it doesn't suit to be a SHE course, very burdening especially the assignment , it felt like I was a computer science student . SHE subjects should be enjoyable",negative,0.160456061,1
102,GFW0031,4,A - A1,-,positive,0.66110009,4
103,GFW0031,4,A - A1,Simplify the contents and assignments of this course. I feel like they are quite heavy for a SHE course and a small credit.,negative,0.326825529,2
104,GFW0031,4,A - A1,"The course is too extensive , it doesn't suit to be a SHE course, very burdening especially the assignment , it felt like I was a computer science student . SHE subjects should be enjoyable",negative,0.160456061,1
105,GFW0031,4,B - B1,-,positive,0.66110009,4
106,GFW0031,4,B - B1,"please simplify the slides, its too much , also too many information , not suitable for SHE , too stressful , burdening",negative,0.063150726,1
107,GFW0031,4,B - B1,-,positive,0.66110009,4
108,GFW0031,4,B - B1,"please simplify the slides, its too much , also too many information , not suitable for SHE , too stressful , burdening",negative,0.063150726,1
109,GFW0031,4,C - C1,-,positive,0.66110009,4
110,GFW0031,4,C - C1,"Include more thorough materials, as the ones in the slide may not tally with the ones questioned in the quizzes.",neutral,0.597967505,3
111,GFW0031,4,C - C1,-,positive,0.66110009,4
112,GFW0031,4,C - C1,"Include more thorough materials, as the ones in the slide may not tally with the ones questioned in the quizzes.",neutral,0.597967505,3
113,GFW0032,2,A - A1,should mark more leniently as it is a brand new concept to us,positive,0.858463466,5
114,GFW0032,2,B - B1,"Saya tidak setuju bahawa pelajar perlu menyiapkan tugasan mingguan untuk mendapatkan attendance. Tugasan tersebut amat sukar. Lagipun saya sudah menghadiri kelas, saya layak untuk mendapatkan attndnce",neutral,0.496755362,3
115,GFW0032,2,C - C1,Subjek ini sangat susah untuk difahami terutamanya bagi pelajar yang tiada latarbelakang dalam bidang ini.,positive,0.655703545,4
116,GFW0032,1,A - A1,teaching ways can be more clear,positive,0.693142533,4
117,GFW0032,1,A - A1,"The course would be diﬃcult for a student who is not majoring in computer science as we have no basic on it. Thus, tutorial attendance every week would be hectic for students.",negative,0.244093284,2
118,GFW0032,1,B - B1,suggesting lecturer teach based on basic knowledge since this is a SHE course and most of us are not majoring in this field.,negative,0.156165436,1
119,GFW0033,3,A - A1,semuanya baik,positive,0.66110009,4
120,GFW0033,3,A - A1,I did not feel like I learned anything from this course that I could not have learned clicking around alone in wordpress. I did not feel that optimisation was at all taught. Overall underwhelming.,negative,0.000455241,1
121,GFW0033,3,B - B1,terbaik,positive,0.66110009,4
122,GFW0033,3,B - B1,lecturer could answer the inquiries on time to explain about the course content,positive,0.768443942,4
123,GFW0033,3,C - C1,Can we have online classes for this course? Would really help on practicality,positive,0.623131573,4
124,GFW0033,4,A - A1,-,positive,0.66110009,4
125,GFW0033,4,A - A1,"I really hope we can use other website-building tools as there are a diverse selection out there! But i think, Wordpress would definitely be ideal since you have to start from scratch.",neutral,0.467929125,4
126,GFW0033,4,B - B1,-,positive,0.66110009,4
127,GFW0033,4,C - C1,-,positive,0.66110009,4
128,GFW0033,4,C - C1,Good,positive,0.747274876,4
129,GFW0033,4,C - C1,Thank you Dr.! :D,positive,0.824587703,5
130,GFW0033,1,A - A1,"Perhaps compile some notes into a condensed form, so we wont have to attend relevant classes for multiple weeks, but can do it in one shot.",negative,0.195530593,1
131,GFW0033,1,A - A1,"I didn't expect it to be solely on Wordpress. Perhaps, can explore more variety of website building platforms such as Wix etc.",negative,0.294554442,2
132,GFW0033,1,A - A1,N/A,positive,0.672459662,4
133,GFW0033,1,B - B1,Exploring new web design software.,positive,0.774907649,4
134,GFW0033,1,B - B1,please try to reply students response in teams,neutral,0.583197415,3
135,GFW0033,1,B - B1,"I can't really understand well? , maybe the class can be recorded, and can explain it slowly because of the accent����",negative,0.270394117,2
136,GFW0033,1,B - B1,N/A,positive,0.672459662,4
137,GFW0033,1,C - C1,I think overall is good.,positive,0.743995428,4
138,GFW0033,1,C - C1,Clearer guideline on marking scheme for final presentation,positive,0.656525016,4
139,GFW0033,1,C - C1,Buat website sangat mudah pakai WordPress. Tugasan tak membebankan. Terbaik!,positive,0.733220756,4
140,GFW0033,1,C - C1,N/A,positive,0.672459662,4
141,GFW0033,2,B - B1,"The lecturer never responded to students' messages. I had contacted via both email and the teaching platform, Microsoft Teams but did not get any reply from the lecturer.",negative,0.064452805,1
142,GFW0033,2,C - C1,"UM Wifi does not support the use of the website for this course due to its inaccessibility, causing difficulties and inconvenience when using.",negative,0.13035576,1
143,GFW0033,2,C - C1,Mohon tambah baik wifi. Saya rasa sangat tertekan apabila wifi yang tidak menentu semasa kelas dijalankan. (online),positive,0.633721948,4
144,WIA1001,1,A - A1,-,positive,0.66110009,4
145,WIA1001,1,A - A1,-,positive,0.66110009,4
146,WIA1001,1,A - A1,-,positive,0.66110009,4
147,WIA1001,1,B - B1,-,positive,0.66110009,4
148,WIA1001,1,B - B1,the lecturer provides clearer explanation on the topic,positive,0.81397903,5
149,WIA1001,1,B - B1,-,positive,0.66110009,4
150,WIA1001,1,B - B1,"since it is more of theory learning, more quizzes like kahoot can be used to play",positive,0.684708953,4
151,WIA1001,1,B - B1,-,positive,0.66110009,4
152,WIA1001,1,B - B1,mengurangkan kelas secara online kerana sangat menurunkan momentum belajar saya,positive,0.691113472,4
153,WIA1001,1,C - C1,-,positive,0.66110009,4
154,WIA1001,1,C - C1,"Overall, Dr was always friendly, whenever we faced any problems and find him, he will reply us and help us",negative,0.431039125,2
155,WIA1001,1,C - C1,-,positive,0.66110009,4
156,WIA1001,1,C - C1,-,positive,0.66110009,4
157,WIA1001,2,A - A1,-,positive,0.66110009,4
158,WIA1001,2,A - A1,good subject that lets us know the importance of technology in business,positive,0.734234095,4
159,WIA1001,2,A - A1,Reduce tasks of the Assignment,positive,0.661138952,4
160,WIA1001,2,A - A1,-,positive,0.66110009,4
161,WIA1001,2,B - B1,-,positive,0.66110009,4
162,WIA1001,2,B - B1,"if the lessons were less boring, it may actually be a easier course",positive,0.773918927,4
163,WIA1001,2,B - B1,Teachers interact with us more,positive,0.748570919,4
164,WIA1001,2,B - B1,-,positive,0.66110009,4
165,WIA1001,2,C - C1,-,positive,0.66110009,4
166,WIA1001,2,C - C1,"make the slides more interesting pls, like maybe a few photo for examples",positive,0.918002665,5
167,WIA1001,2,C - C1,Reduce tasks of the Assignment,positive,0.661138952,4
168,WIA1001,2,C - C1,-,positive,0.66110009,4
169,WIA1002,2,A - A1,No improvement.,positive,0.638570011,4
170,WIA1002,2,B - B1,No improvement,positive,0.638570011,4
171,WIA1002,2,C - C1,Good,positive,0.747274876,4
172,WIA1002,1,A - A1,Maybe changing exam to something more real life would be better. Something like a middle size project done within 24 hours.,positive,0.627972603,4
173,WIA1002,1,A - A1,N/A,positive,0.672459662,4
174,WIA1002,1,B - B1,More video based content for learning instead of doc for practical for example,positive,0.819398761,5
175,WIA1002,1,B - B1,"Nothing that I want to suggest, just want to state my upmost gratification and appreciation to Dr Zati Hakim for showing me that kindness still exist in this world.",negative,0.01542055,1
176,WIA1002,1,B - B1,N/A,positive,0.672459662,4
177,WIA1002,1,B - B1,Dr Zati best Dr ever,positive,0.711454391,4
178,WIA1002,1,C - C1,N/A,positive,0.672459662,4
179,WIA1002,2,A - A1,One of the best doctor i ever came across in this entire semester.,positive,0.684859633,4
180,WIA1002,2,B - B1,No improvement needed.,positive,0.716897428,4
181,WIA1002,2,C - C1,No improvement needed. One of the best doctor in the entire semester,positive,0.870786011,5
182,WIA1002,3,A - A1,"Good teaching and all clear,suggest to let Dr Zati become lecturer for Data Structure",positive,0.813788414,5
183,WIA1002,3,A - A1,very good lecturer. Slow pace learning helps students understand properly instead of taking everything at once.,positive,0.674938262,4
184,WIA1002,3,A - A1,My fav dr,neutral,0.54969418,3
185,WIA1002,3,B - B1,Good way to teach,positive,0.770968854,4
186,WIA1002,3,B - B1,"I repeated this course, hence i can see the difference in the way of teaching, i highly encourage faculty to proceed hands on activity just like Dr Zati did to us.",positive,0.75273174,4
187,WIA1002,3,B - B1,the best lecturer ever. i learned a lot from dr Zati compared to last semester,positive,0.824671209,5
188,WIA1002,3,C - C1,"none , very good !!",positive,0.747364879,4
189,WIA1002,4,A - A1,none,positive,0.633721173,4
190,WIA1002,4,A - A1,THANKYOU DR ZATI,positive,0.686213017,4
191,WIA1002,4,A - A1,"The teachers should have more mercy, and try to grade our assignments fairly, and respect our revision week",neutral,0.575865865,3
192,WIA1002,4,B - B1,none,positive,0.633721173,4
193,WIA1002,4,C - C1,none,positive,0.633721173,4
194,WIA1002,4,A - A1,Continuous assessment should be split up evenly instead of making 50% on project,positive,0.708152354,4
195,WIA1002,4,A - A1,The exams should be a little less impossible,positive,0.765341997,4
196,WIA1002,4,A - A1,none,positive,0.633721173,4
197,WIA1002,4,B - B1,A step-by-step guide where students can follow the coding from lecturers with detailed explanations for each line of code.,positive,0.904911101,5
198,WIA1002,4,B - B1,"However, he suddenly exchange to other uni and we are left with the instructor(our own senior)",positive,0.745751143,4
199,WIA1002,4,B - B1,none,positive,0.633721173,4
200,WIA1002,4,C - C1,none,positive,0.633721173,4
201,WIA1003,1,A - A1,none,positive,0.633721173,4
202,WIA1003,1,B - B1,none,positive,0.633721173,4
203,WIA1003,1,C - C1,none,positive,0.633721173,4
204,WIA1003,1,A - A1,none,positive,0.633721173,4
205,WIA1003,1,B - B1,none,positive,0.633721173,4
206,WIA1003,1,C - C1,none,positive,0.633721173,4
207,WIA1005,1,A - A1,none,positive,0.633721173,4
208,WIA1005,1,A - A1,none,positive,0.633721173,4
209,WIA1005,1,B - B1,none,positive,0.633721173,4
210,WIA1005,1,B - B1,none,positive,0.633721173,4
211,WIA1005,1,C - C1,Dr Faiz best teacher i have ever met in UM for now,positive,0.624076724,4
212,WIA1005,1,C - C1,none,positive,0.633721173,4
213,WIA1005,1,C - C1,none,positive,0.633721173,4
214,WIA1005,1,A - A1,none,positive,0.633721173,4
215,WIA1005,1,B - B1,none,positive,0.633721173,4
216,WIA1005,1,C - C1,none,positive,0.633721173,4
217,WIA1007,2,A - A1,Pls don't use chatgpt generated answers in classes anymore most of the times when the generated answers are wrong you're not aware of it lmao :) thank you,negative,0.13163498,1
218,WIA1007,2,A - A1,The course is severely unstructured. It is so difficult for student to plan for their learning. No official materials are given as the main reference.,positive,0.682690203,4
219,WIA1007,2,B - B1,classes are always conducted. Sometimes classes are cancelled and sometimes classes are conducted. This is very hard for us to learn.,negative,0.24872613,2
220,WIA1007,2,B - B1,Know nothing after learning for a sem (perhaps a bit). Different things taught compared to what being taught in lectures. Most of the time no class. Until final then only admins know the problem faced,positive,0.613186121,4
221,WIA1007,2,B - B1,If you stop using gpt generated answers?? Communication between lecturers??? So that your tutorial answers does not deviate so much from what we learn in lectures :),neutral,0.571264446,3
222,WIA1007,2,B - B1,Lecturer can provide more explanation in tutorials,positive,0.601348639,4
223,WIA1007,2,C - C1,Focus on letting us learn the materials in tuto classes :) kinda waste my time doing tuto questions when all i do is ask chatgpt for answers cuz the slides doesnt teach me anything also :(,negative,0.186619624,1
224,WIA1007,2,C - C1,No reference for the course at all. The materials given are from other uni. So disappointed. No pass year question found. Know nothing to study for final.,negative,0.117268786,1
225,WIA1007,3,A - A1,"I am hoping that this course is more structured in the future. Apart from that, I am hoping that what we learn in lecture has more practical implementation with guidance from lectures themselves.",negative,0.251170427,2
226,WIA1007,3,A - A1,"I like the idea that a course should let the students freely think about the material, but it should at least be somewhat structured",positive,0.947776079,5
227,WIA1007,3,A - A1,"The slide is not very friendly and the course is not structured. Honestly, I don't even know what I'm learning in this subject. However, we can answer final exam not hardly.",negative,0.0007618,1
228,WIA1007,3,B - B1,More pragmatic approach is being implement in the learning process. More practical examples to help students visualize and understands the topics better.,neutral,0.481091708,3
229,WIA1007,3,B - B1,"Answers that I got were rejected without further discussion; turns out the one I got was correct also, the tutorial answers that were presented to us are mostly AI generated.",negative,0.235571653,2
230,WIA1007,3,B - B1,The tutorial must sync with the lecture. We can't study tutorials for final exam.,neutral,0.53734982,3
231,WIA1007,3,C - C1,I state enough at a and b .,neutral,0.586255491,3
232,WIA1007,1,A - A1,-,positive,0.66110009,4
233,WIA1007,1,A - A1,"Can set the questions directly in the colab, but not in the pdf file, maybe can make a website that just compile with every week lecture notes and sample codes, and videos. It will be much better.",positive,0.606636882,4
234,WIA1007,1,A - A1,Please make a more structured syllabus.,positive,0.710305572,4
235,WIA1007,1,B - B1,-,positive,0.66110009,4
236,WIA1007,1,B - B1,"Announcements cannot be seen immediately, if announce in the website will be easier, and send through email will be way better. But overall, Dr.Shahreeza is a good dr.",positive,0.86597997,5
237,WIA1007,1,B - B1,There's any digital textbooks available for this course.,positive,0.662512064,4
238,WIA1007,1,C - C1,-,positive,0.66110009,4
239,WIA1007,1,C - C1,Tutorials please give some samples for students to learn from it. Can ask UM to set a premium Google Colab account for each AI student.,positive,0.901619256,5
240,WIA1007,2,A - A1,Ur teaching method is ok but everytime i go to lecture i belike HUHHH�������� feel like no important points were actually said and your handwriting on jamboard very messy sorry dr,negative,0.113037273,1
241,WIA1007,2,A - A1,"Requirements for assignment were told only during study weeks, changes have to be made :D Unstructured course with no quality-ensured materials provided. Disappointed.",negative,0.085728057,1
242,WIA1007,2,B - B1,Teach important points during lectures feel like im tryna grasp everything all at once during lectures thats why i come out of the lecture knowing nothing,negative,0.25741154,2
243,WIA1007,2,B - B1,"Should have step by step hands on, should not just having general explanation but meanwhile no clear detailed explanation.",negative,0.245449945,2
244,WIA1007,2,C - C1,The slides provided are bad it contains wikipedia screenshots and are not easily understandable. We don't understand what's going to come in the examination.,negative,0.046921585,1
245,WIA1007,2,C - C1,Materials are the main problem! Too bad if the materials are just what fetched from other uni websites.,negative,0.399273485,2
246,WIA1007,2,C - C1,The assignment questions are wayyy to hard for what skills we actually learnt and have so maybe make the questions so that its on par with what we learnt,positive,0.759035408,4
247,WIA1007,3,A - A1,"I am hoping for more structured learning process, especially during lecture. I am hoping that anything I am learning in lecture, I can relate with real life applications at the end of the lecture.",negative,0.194260523,1
248,WIA1007,3,A - A1,Lecture slides are not structured. I don't know what I'm learning.,negative,0.077841163,1
249,WIA1007,3,B - B1,The tutorial and lecture are not in sync.,negative,0.255314589,2
250,WIA1007,3,C - C1,...,positive,0.66110009,4
251,WIA1008,1,A - A1,I think the practical is much more beneficial than the theories of this course,positive,0.728150547,4
252,WIA1008,1,A - A1,,positive,0.66110009,4
253,WIA1008,1,A - A1,"What you have learned is too simple, which is useless. We have to download too many expensive software.",negative,0.22996363,2
254,WIA1008,1,A - A1,I think this course can more focus on the application of using Adobe.,positive,0.697362661,4
255,WIA1008,1,B - B1,Attending class feels pointless when the lecturer simply reads off the slides without adding any value.,neutral,0.4732548,3
256,WIA1008,1,B - B1,,positive,0.66110009,4
257,WIA1008,1,C - C1,no,positive,0.614511788,4
258,WIA1008,1,C - C1,Computers in the lab often have issues using certain software.,positive,0.656751692,4
259,WIA1008,1,C - C1,"Too many online learning, we can't use the computer in the classroom. The adobe app need to download in our computer, very troublesome",negative,0.207982972,2
260,WIA2001,1,A - A1,Baik,positive,0.66110009,4
261,WIA2001,1,B - B1,Good,positive,0.747274876,4
262,WIA2001,1,C - C1,Baik,positive,0.66110009,4
263,WIA2001,3,A - A1,perhaps can teach us more about nosql,positive,0.738677621,4
264,WIA2001,3,A - A1,N/A,positive,0.672459662,4
265,WIA2001,3,B - B1,N/A,positive,0.672459662,4
266,WIA2001,3,C - C1,N/A,positive,0.672459662,4
267,WIA2001,4,A - A1,Thank you.,positive,0.822494686,5
268,WIA2001,4,A - A1,"sometimes, the terms used in lecture notes is not straight forward.",negative,0.085637912,1
269,WIA2001,5,A - A1,-,positive,0.66110009,4
270,WIA2001,5,B - B1,-,positive,0.66110009,4
271,WIA2001,5,B - B1,Teaching quality was sub-par. While teacher marking strictness was much higher than other lectures making it highly unfair to the students.,neutral,0.499210417,3
272,WIA2001,5,B - B1,Lecturer should improve in her explanation of the topics (explanation isnt clear and concise) and prevent from reading the slides too much.,positive,0.735754013,4
273,WIA2001,5,C - C1,-,positive,0.66110009,4
274,WIA2001,6,A - A1,Good enough,positive,0.740379632,4
275,WIA2001,6,A - A1,-,positive,0.66110009,4
276,WIA2001,6,B - B1,Nothing to be improved,neutral,0.502782285,3
277,WIA2001,6,B - B1,-,positive,0.66110009,4
278,WIA2001,6,C - C1,All satisfied,positive,0.66110009,4
279,WIA2001,6,C - C1,-,positive,0.66110009,4
280,WIA2001,7,B - B1,Lecturer gave us very low marks on group project for no reason. Even though everyone performed well in their project.,neutral,0.503050268,3
281,WIA2001,7,B - B1,"Her teaching is terrible, speaks too broken of an english, and i can't understand what she's teaching even when i focus, but wants to be strict & give low marks",negative,0.003533502,1
282,WIA2001,7,B - B1,Lecturer unfairly graded one occ where else other occ received good grades for the same amount of task,positive,0.749726176,4
283,WIA2001,7,B - B1,"More emphasis should be made on teaching the sql, rather than just making the students learn almost everything from scratch. The lectures only cover the syntax. It doesn't include app building, etc",neutral,0.539606929,3
284,WIA2001,8,A - A1,-,positive,0.66110009,4
285,WIA2001,8,B - B1,"Dr, please use simple and direct word to explain. Other than that, she is good",positive,0.931259036,5
286,WIA2001,8,C - C1,-,positive,0.66110009,4
