No.,Subject,Sentiment,Sentiment_Score,preprocessed_text
40,GFW0001,positive,4,
41,GFW0001,positive,4,need attract interest course student not_add work
42,GFW0001,positive,4,assignment require much indepth knowledge field not_in line course title content assignment make student confused complete assignment
43,GFW0001,positive,4,
44,GFW0001,negative,1,know continue assessment mark still really burdensome course give weekly tutorial similar assignment get not_marks
45,GFW0001,negative,2,never use library resource not_exposure
46,GFW0001,neutral,3,great course online disappointing question leave unanswered gmail mean communication course also close tutorial submission
47,GFW0001,negative,2,course heavy core course even though suppose 2 credit course
48,GFW0001,negative,1,insane amount assignment kelf course many student juggle core course well still not_leniency lecturer regard submission date
49,GFW0001,positive,4,
50,GFW0001,neutral,3,difficult assignment not_examples
51,GFW0001,positive,4,random assignment group member also cause group member faculty not_cooperate well not_respond well complete assignment
52,GFW0015,positive,5,love course lecture kind sometimes maybe necessary give u head absence
53,GFW0015,positive,5,nice
54,GFW0015,positive,5,nice
55,GFW0015,positive,5,nice
56,GFW0016,positive,4,make assignment involve student watch movie comment movie
57,GFW0016,positive,4,give feedback student well clearly
58,GFW0016,positive,4,good lecturer passionate teaching subject
59,GFW0016,positive,4,increase reach um wifi
60,GFW0016,positive,5,confidential peer evaluation would helpful teammate unresponsive put contribute lead work part grade base
61,GFW0016,positive,5,critical analysis filmscan include define good movie
62,GFW0016,positive,4,reduce unnecessary presentation
63,GFW0018,positive,4,none
64,GFW0018,negative,2,suggest coordinator standardize teach schedule assessment suggest reduce number test burdensome lecturer not_cover syllabus completely
65,GFW0018,negative,2,nothing change dr miss laiha explain well class never boring
66,GFW0018,positive,4,none
67,GFW0018,positive,4,none
68,GFW0018,positive,4,
69,GFW0018,positive,4,
70,GFW0018,positive,5,lecturer nice man please give tool teach effectively
71,GFW0018,positive,4,
72,GFW0018,positive,4,
73,GFW0018,positive,4,
74,GFW0018,positive,4,
75,GFW0018,negative,2,lecturer doesnt explain assignment well
76,GFW0018,negative,2,lecturer doesnt explain assignment well
78,GFW0031,neutral,3,physical class
79,GFW0031,positive,4,prepare note
80,GFW0031,positive,4,okay
81,GFW0031,positive,4,learning may not_be suitable beginner
82,GFW0031,positive,4,course do facetoface
83,GFW0031,positive,4,presentation session
84,GFW0031,positive,4,none
85,GFW0031,positive,4,okay
86,GFW0031,positive,4,
87,GFW0031,negative,2,lecturer could use slide less felt like lecturer read slide lecturer elaborate certain point
88,GFW0031,positive,4,fun subject assign clear detailed instruction ahead time
89,GFW0031,positive,4,none
90,GFW0031,positive,4,okay
91,GFW0031,positive,4,
92,GFW0031,positive,4,
93,GFW0031,positive,4,
94,GFW0031,negative,1,since network not_my major get feedback dr important email dr feedback assignment not_reply please improve
95,GFW0031,positive,4,
96,GFW0031,negative,1,since network not_my major get feedback dr important email dr feedback assignment not_reply please improve
97,GFW0031,positive,4,
98,GFW0031,positive,4,
99,GFW0031,positive,4,
100,GFW0031,negative,2,simplify content assignment course feel like quite heavy course small credit
101,GFW0031,negative,1,course extensive doesnt suit course burden especially assignment felt like computer science student subject enjoyable
102,GFW0031,positive,4,
103,GFW0031,negative,2,simplify content assignment course feel like quite heavy course small credit
104,GFW0031,negative,1,course extensive doesnt suit course burden especially assignment felt like computer science student subject enjoyable
105,GFW0031,positive,4,
106,GFW0031,negative,1,please simplify slide much also much information not_suitable stressful burdening
107,GFW0031,positive,4,
108,GFW0031,negative,1,please simplify slide much also much information not_suitable stressful burdening
109,GFW0031,positive,4,
110,GFW0031,neutral,3,include thorough material one slide may not_tally one question quiz
111,GFW0031,positive,4,
112,GFW0031,neutral,3,include thorough material one slide may not_tally one question quiz
113,GFW0032,positive,5,mark leniently brand new concept u
114,GFW0032,neutral,3,dont agree student complete weekly assignment get attendance task difficult already attend class eligible attndnce
115,GFW0032,positive,4,subject difficult understand especially student not_background field
116,GFW0032,positive,4,teach way clear
117,GFW0032,negative,2,course would difficult student not_majoring computer science not_basic thus tutorial attendance every week would hectic student
118,GFW0032,negative,1,suggest lecturer teach base basic knowledge since course u not_majoring field
119,GFW0033,positive,4,good
120,GFW0033,negative,1,not_feel like learn anything course could not_have learn click around alone wordpress not_feel optimization teach overall underwhelming
121,GFW0033,positive,4,best
122,GFW0033,positive,4,lecturer could answer inquiry time explain course content
123,GFW0033,positive,4,online class course would really help practicality
124,GFW0033,positive,4,
125,GFW0033,neutral,4,really hope use websitebuilding tool diverse selection think wordpress would definitely ideal since start scratch
126,GFW0033,positive,4,
127,GFW0033,positive,4,
128,GFW0033,positive,4,good
129,GFW0033,positive,5,thank dr
130,GFW0033,negative,1,perhaps compile note condense form wont attend relevant class multiple week one shot
131,GFW0033,negative,2,didnt expect solely wordpress perhaps explore variety website building platform wix etc
133,GFW0033,positive,4,explore new web design software
134,GFW0033,neutral,3,please try reply student response team
135,GFW0033,negative,2,cant really understand well maybe class record explain slowly accenti12i12i12i12
137,GFW0033,positive,4,think overall good
138,GFW0033,positive,4,clearer guideline mark scheme final presentation
139,GFW0033,positive,4,create website easily use wordpress task not_burdensome best
141,GFW0033,negative,1,lecturer never respond student message contact via email teach platform microsoft team not_get reply lecturer
142,GFW0033,negative,1,um wifi not_support use website course due inaccessibility cause difficulty inconvenience use
143,GFW0033,positive,4,please improve wifi feel stress wifi unstable class online
144,WIA1001,positive,4,
145,WIA1001,positive,4,
146,WIA1001,positive,4,
147,WIA1001,positive,4,
148,WIA1001,positive,5,lecturer provide clear explanation topic
149,WIA1001,positive,4,
150,WIA1001,positive,4,since theory learn quiz like kahoot use play
151,WIA1001,positive,4,
152,WIA1001,positive,4,reduce online class greatly reduce momentum study
153,WIA1001,positive,4,
154,WIA1001,negative,2,overall dr always friendly whenever face problem find reply u help u
155,WIA1001,positive,4,
156,WIA1001,positive,4,
157,WIA1001,positive,4,
158,WIA1001,positive,4,good subject let u know importance technology business
159,WIA1001,positive,4,reduce task assignment
160,WIA1001,positive,4,
161,WIA1001,positive,4,
162,WIA1001,positive,4,lesson less boring may actually easier course
163,WIA1001,positive,4,teacher interact u
164,WIA1001,positive,4,
165,WIA1001,positive,4,
166,WIA1001,positive,5,make slide interesting pls like maybe photo example
167,WIA1001,positive,4,reduce task assignment
168,WIA1001,positive,4,
169,WIA1002,positive,4,not_improvement
170,WIA1002,positive,4,not_improvement
171,WIA1002,positive,4,good
172,WIA1002,positive,4,maybe change exam something real life would better something like middle size project do within 24 hour
174,WIA1002,positive,5,video base content learn instead doc practical example
175,WIA1002,negative,1,nothing want suggest want state utmost gratification appreciation dr zati hakim show kindness still exist world
177,WIA1002,positive,4,dr zati best dr ever
179,WIA1002,positive,4,one best doctor ever come across entire semester
180,WIA1002,positive,4,not_improvement need
181,WIA1002,positive,5,not_improvement need one best doctor entire semester
182,WIA1002,positive,5,good teaching clear suggest let dr zati become lecturer data structure
183,WIA1002,positive,4,good lecturer slow pace learning help student understand properly instead take everything
184,WIA1002,neutral,3,favorite dr
185,WIA1002,positive,4,good way teach
186,WIA1002,positive,4,repeat course hence see difference way teach highly encourage faculty proceed hand activity like dr zati u
187,WIA1002,positive,5,best lecturer ever learn lot dr zati compare last semester
188,WIA1002,positive,4,none good
189,WIA1002,positive,4,none
190,WIA1002,positive,4,thank dr zati
191,WIA1002,neutral,3,teacher mercy try grade assignment fairly respect revision week
192,WIA1002,positive,4,none
193,WIA1002,positive,4,none
194,WIA1002,positive,4,continuous assessment split evenly instead make 50 project
195,WIA1002,positive,4,exams little less impossible
196,WIA1002,positive,4,none
197,WIA1002,positive,5,stepbystep guide student follow cod lecturer detailed explanation line code
198,WIA1002,positive,4,however suddenly exchange uni leave instructor senior
199,WIA1002,positive,4,none
200,WIA1002,positive,4,none
201,WIA1003,positive,4,none
202,WIA1003,positive,4,none
203,WIA1003,positive,4,none
204,WIA1003,positive,4,none
205,WIA1003,positive,4,none
206,WIA1003,positive,4,none
207,WIA1005,positive,4,none
208,WIA1005,positive,4,none
209,WIA1005,positive,4,none
210,WIA1005,positive,4,none
211,WIA1005,positive,4,dr faiz best teacher ever meet um
212,WIA1005,positive,4,none
213,WIA1005,positive,4,none
214,WIA1005,positive,4,none
215,WIA1005,positive,4,none
216,WIA1005,positive,4,none
217,WIA1007,negative,1,pls dont use chatgpt generate answer class anymore time generate answer wrong youre not_aware lmao thank
218,WIA1007,positive,4,course severely unstructured difficult student plan learn not_official material give main reference
219,WIA1007,negative,2,class always conduct sometimes class cancel sometimes class conduct hard u learn
220,WIA1007,positive,4,know nothing learn semester perhaps bit different thing teach compare taught lecture time not_class final admins know problem face
221,WIA1007,neutral,3,stop use gpt generated answer communication lecturer tutorial answer not_deviate much learn lecture
222,WIA1007,positive,4,lecturer provide explanation tutorial
223,WIA1007,negative,1,focus let u learn material tuto class kinda waste time tuto question ask chatgpt answer cuz slide doesnt teach anything also
224,WIA1007,negative,1,not_reference course material give university disappoint not_pass year question find know nothing study final
225,WIA1007,negative,2,hop course structured future apart hop learn lecture practical implementation guidance lecture
226,WIA1007,positive,5,like idea course let student think freely material least somewhat structured
227,WIA1007,negative,1,slide not_very friendly course not_structured honestly dont even know im learn subject however answer final exam not_hardly
228,WIA1007,neutral,3,pragmatic approach implement learning process practical example help student visualize understand topic well
229,WIA1007,negative,2,answer get reject without discussion turn one got correct also tutorial answer present u mostly ai generate
230,WIA1007,neutral,3,tutorial must sync lecture cant study tutorial final exam
231,WIA1007,neutral,3,state enough b
232,WIA1007,positive,4,
233,WIA1007,positive,4,set question directly collab not_in pdf file maybe make website compiles every week lecture note sample code videos much good
234,WIA1007,positive,4,please make structured syllabus
235,WIA1007,positive,4,
236,WIA1007,positive,5,announcement not_be see immediately announce website easier send email way well overall dr shahreeza good dr
237,WIA1007,positive,4,digital textbook available course
238,WIA1007,positive,4,
239,WIA1007,positive,5,tutorial please give sample student learn ask um set premium google colab account ai student
240,WIA1007,negative,1,ur teach method ok everytime go lecture belike huhhhi12i12i12i12i12i12i12i12 feel like not_important point actually say handwrite jamboard messy sorry dr
241,WIA1007,negative,1,requirement assignment tell study week change make unstructured course not_qualityassured material provide disappointed
242,WIA1007,negative,2,teach important point lecture feel like im tryna grasp everything lecture thats come lecture know nothing
243,WIA1007,negative,2,step step hand not_just general explanation meanwhile not_clear detailed explanation
244,WIA1007,negative,1,slide provide bad contains wikipedia screenshots not_easily understandable dont understand whats go come examination
245,WIA1007,negative,2,material main problem bad material fetch uni website
246,WIA1007,positive,4,assignment question wayyy hard skill actually learn maybe make question par learn
247,WIA1007,negative,1,hop structure learn process especially lecture hop anything learning lecture relate real life application end lecture
248,WIA1007,negative,1,lecture slide not_structured dont know im learning
249,WIA1007,negative,2,tutorial lecture not_in sync
250,WIA1007,positive,4,
251,WIA1008,positive,4,think practical much beneficial theory course
253,WIA1008,negative,2,learn simple useless download many expensive software
254,WIA1008,positive,4,think course focus application use adobe
255,WIA1008,neutral,3,attend class feel pointless lecturer simply read slide without add value
257,WIA1008,positive,4,
258,WIA1008,positive,4,computer lab often issue use certain software
259,WIA1008,negative,2,many online learn cant use computer classroom adobe app need download computer troublesome
260,WIA2001,positive,4,good
261,WIA2001,positive,4,good
262,WIA2001,positive,4,good
263,WIA2001,positive,4,perhaps teach u nosql
267,WIA2001,positive,5,thank
268,WIA2001,negative,1,sometimes term used lecture note not_straight forward
269,WIA2001,positive,4,
270,WIA2001,positive,4,
271,WIA2001,neutral,3,teach quality subpar teacher mark strictness much high lecture make highly unfair student
272,WIA2001,positive,4,lecturer improve explanation topic explanation not_clear concise prevent read slide much
273,WIA2001,positive,4,
274,WIA2001,positive,4,good enough
275,WIA2001,positive,4,
276,WIA2001,neutral,3,nothing improve
277,WIA2001,positive,4,
278,WIA2001,positive,4,satisfied
279,WIA2001,positive,4,
280,WIA2001,neutral,3,lecturer give u low mark group project not_reason even though everyone perform well project
281,WIA2001,negative,1,teach terrible speaks break english cant understand shes teach even focus want strict give low mark
282,WIA2001,positive,4,lecturer unfairly grade one occ else occ receive good grade amount task
283,WIA2001,neutral,3,emphasis make teach sql rather make student learn almost everything scratch lecture cover syntax doesnt include app building etc
284,WIA2001,positive,4,
285,WIA2001,positive,5,dr please use simple direct word explain good
286,WIA2001,positive,4,
287,WIA2001,positive,4,not_suggestions
288,WIA2001,positive,4,not_improvement
289,WIA2001,positive,4,good
290,WIA2001,positive,5,kindly provide record online class provide tutorial answer discussion would help student lot selfstudy would better dr could discussion last year
291,WIA2001,negative,2,create microsoft team online class not_only meet link may provide record online class
292,WIA2001,positive,4,interested database class dr teach u dedication
293,WIA2001,neutral,3,nothing improve
294,WIA2001,positive,4,
295,WIA2001,positive,4,good enough
296,WIA2001,positive,4,
297,WIA2001,positive,4,good enough
298,WIA2001,positive,4,
299,WIA2001,positive,4,
300,WIA2001,positive,5,good attentive lecturer
301,WIA2001,positive,4,
302,WIA2001,positive,4,not_suggestions
303,WIA2001,positive,4,not_improvement
304,WIA2001,positive,4,good
305,WIA2002,positive,4,physical facetoface class quick recap week lecture tutorial class maybe
306,WIA2002,positive,5,nice
307,WIA2002,positive,4,good enough
308,WIA2002,positive,4,already well structure
312,WIA2003,negative,1,ask question dr not_reply properly informatively mad u ask lot many online class not_refer slide teach
313,WIA2003,positive,4,lecturer willing teach student see deliver lecture not_excitement
314,WIA2003,positive,5,provide free software student spss free fsktm student
315,WIA2003,positive,4,
316,WIA2003,positive,4,
317,WIA2003,positive,4,
318,WIA2003,positive,4,
319,WIA2003,positive,4,
320,WIA2003,positive,4,
321,WIA2003,positive,5,thank
322,WIA2003,negative,1,wish test standard intensity hand tutorial increase teach statistical concept student tend delay due vastness
323,WIA2003,neutral,3,nothing improve
324,WIA2003,positive,4,good enough
325,WIA2003,neutral,3,already well structure
326,WIA2003,positive,4,
327,WIA2003,positive,4,
328,WIA2003,positive,4,
329,WIA2003,positive,4,
330,WIA2003,positive,4,include example calculation lecture note
331,WIA2003,positive,4,
332,WIA2003,positive,4,
333,WIA2003,positive,4,include example calculation lecture note
334,WIA2003,positive,4,
335,WIA2003,positive,4,
336,WIA2003,negative,4,ask student use spss dont provide least code use service cause spss isnt available without pay
337,WIA2003,positive,4,
338,WIA2003,positive,4,
339,WIA2003,positive,4,
340,WIA2003,positive,4,
341,WIA2003,positive,5,course machine learn course student learn machine learn course easy
342,WIA2006,positive,5,give interesting teach way
344,WIA2006,positive,4,
346,WIA2006,positive,4,
348,WIA2006,positive,4,
349,WIA2006,positive,4,would better dr could discuss last year question final scope
350,WIA2006,positive,4,
351,WIA2006,positive,4,
352,WIA2006,positive,4,
353,WIA2006,negative,2,sometimes sentence structure lecture note confuse many fact
354,WIA2006,positive,4,
355,WIA2006,neutral,3,think perhaps sad joint assignment database
356,WIA2006,positive,4,
357,WIA2006,positive,4,
358,WIA2006,negative,1,maybe interactive session lecture kinda boring sit not_knowing implement
359,WIA2006,negative,2,first 4 week lecture class lecturer not_around without announcement student wait lecture hall 20 minute student rush dk1
360,WIA2006,neutral,3,havent see lecturer since week 1
362,WIA2006,positive,4,
364,WIA2006,positive,4,
366,WIA2006,positive,4,
367,WIA2007,positive,5,love idea joint assignment
368,WIA2007,neutral,3,please consider examination time final final exam course 811 pm night semester
372,WIA2007,negative,1,past year question not_available um library website
373,WIA2007,negative,1,joint assignment idea disaster student not_taking project management 3hour final exam schedule 745 pm friday ridiculous
374,WIA2007,neutral,3,mark deduction system overburden
375,WIA2007,positive,4,
376,WIA2007,positive,4,
377,WIA2007,neutral,3,think time course learn hybrid app use framework like native flutter relevant industry right malaysia
378,WIA2007,negative,2,practical focus need difficult come group assignment practical basic group assignment challenge
379,WIA2007,positive,4,
380,WIA2007,positive,4,
381,WIA2007,neutral,3,dr please dont easily skip class put online recording simply
382,WIA2007,positive,4,
383,WIA2007,positive,4,
384,WIA2007,positive,4,faculty pc unable run program require course android studio faculty provide enough suitable pc allow student take test faculty pc
385,WIA2007,positive,4,mark deduction eliminate evaluation system open book system good tricky question test may cause student rather leave blank think answer
386,WIA2007,negative,1,mobile application java not_relevant anymore
387,WIA2007,positive,5,software use course consider android studio one software kind heavy handle especially mediumend less pricey laptop
388,WIA2007,negative,1,extend final exam duration 2 hour not_enough finish app
389,WIA2007,positive,4,dont reject score exam test burden student dont know
390,WIA2007,neutral,3,remove negative mark final exam
391,WIA2007,positive,5,provide live guidance lab session practical task since easy follow lecturer guidance compare write instruction
392,WIA2007,positive,4,dont reject score exam test burden student dont know
393,WIA2007,positive,4,emphasis backend code development aside frontend let student understand content practicals well
394,WIA2007,negative,1,need finish app b4 w1213 finish learn basic week b4 im not_smart enough
395,WIA2007,negative,1,many student not_finish answer question final exam 3 hour not_enough answer mcq cod
396,WIA2007,positive,4,dont reject score exam test burden student dont know
397,WIA2007,negative,2,teach method fast topics new u practical tutorial question sometimes topic please provide not_overburdens assessment method especially assignment
398,WIA2007,positive,5,software use course consider android studio one software kind heavy handle especially mediumend less pricey laptop
399,WIA2007,negative,2,mobile application java already not_relevant
403,WIA2008,positive,5,thank
404,WIA2008,positive,5,thank
405,WIA2008,positive,4,possible ccna lab could request open weekend extend operating hour thank
406,WIA2009,positive,4,kindly please organize course topic easy manner really hard interpret course structure content
407,WIA2009,positive,4,dr could provide upload lab tutorial answer discussion would help lot student selfstudy
408,WIA2009,positive,4,kindly please change instructor poor teaching technique also unorganized
409,WIA2009,neutral,3,provide slide without handwritten note class
410,WIA2010,positive,5,often confuse andor unclear need do group assignments activity clarity structure regard would nice
411,WIA2010,negative,2,dont need final exam
412,WIA2010,negative,1,need teach properly elaborately need provide information student dr need know english project average not_relevant need change
413,WIA2010,positive,5,english communication skill improve teacher
414,WIA2010,negative,2,clear thought vision deliver cyber cynex improve lecture not_delivered properly need change teach method
415,WIA2010,neutral,3,clear thought vision deliver cyber cynex improve lecture not_delivered properly need change teach method dr speak english properly
416,WIA2010,positive,4,course assignment multiply form act video
417,WIA2010,positive,5,good
418,WIA2010,neutral,3,decrease weightage final exam
419,WIA2010,neutral,3,theory part design uiux many activity class
420,WIA2010,positive,4,student also share ideas end class
421,WIA2010,positive,5,good
422,WIA2010,positive,4,extend time final exam 3 hour
423,WIA2010,negative,2,less focus fun activity good help learn much also bad learn
424,WIA2010,positive,4,make use various facility use mass medium technology
425,WIA2010,positive,5,good
426,WIA2010,positive,4,increase equipment cynex
427,WIA2010,neutral,3,short concise note slide long complicate
428,WIA2010,positive,4,good
429,WIA2010,positive,4,
430,WIA2010,positive,4,activity do creative interesting
431,WIA2010,positive,4,
432,WIA2010,positive,4,
433,WIA2010,positive,4,
434,WIA2010,positive,4,
438,WIC3002,positive,4,overall good
439,WIC3002,positive,4,overall good
440,WIC3002,negative,2,dr por teach subject understanding way chill not_burden student
441,WIC3002,positive,4,overall good
442,WIC3005,negative,2,course not_have tutorial student learnrefreshes labs
443,WIC3005,negative,2,way go evaluated not_clear announce suddenly final exam also didnt mention topic scope come exam problematic lecturer
444,WIC3005,neutral,3,anyone dr ling take course beneficial student teach method not_applicable student
445,WIC3005,positive,4,lecturer give tutorial course not_expecting student know right bat
446,WIC3005,negative,1,demotivated time ask question thing dont know dr ling looks student weak scold front everyone badly thing dont know
447,WIC3005,negative,2,lecturer improve teach skill lecturer expect student understand teach lot student dont seem understand teaching
448,WIC3005,negative,2,helpful stop say hurtful thing student hurt selfesteem student know not_all student qual caliber
449,WIC3005,positive,4,lecturer least tell student download network appliance precise labs question
450,WIC3005,negative,1,unsupportive teacher many student suffer many suffer future evaluate not_okay never want academic journey
451,WIC3005,neutral,3,share resource course
452,WIC3005,neutral,2,access ccna lab day time weekdays class well labs ccna not_free time slow learner like u need time try learn
453,WIC3006,positive,4,lab session configure test wireless network mobile compute
454,WIC3006,positive,4,overall good
455,WIC3006,positive,4,overall good
456,WIC3006,positive,4,overall good
457,WIC3007,positive,5,excellent course hop lab session industry base implementation demonstration
458,WIC3007,positive,4,overall good
459,WIC3007,positive,4,delivery lecture fun understandable keep approach
460,WIC3007,positive,4,overall good
461,WIC3007,neutral,3,hop spectrum submission link open earlier
462,WIC3007,positive,4,overall good
463,WIC3009,positive,5,lecture content good good exposure use parallelization design program hop physical labs discussion compare serial parallel program
464,WIC3009,positive,4,use different delivery method approach subject technical improve delivery concepts chapter 2 3 parallelization technique
465,WID3007,positive,5,would nice explanation fuzzy transitivity
466,WID3007,positive,4,good
467,WID3007,positive,4,good
468,WID3007,positive,4,good
469,WID3007,positive,4,good
470,WID3007,positive,4,good
471,WID3007,positive,4,good
472,WID3007,positive,4,god
473,WID3007,positive,4,god
474,WID3007,positive,4,physical session hold instead record
475,WID3007,positive,5,dr attentive student always ask u get question need clarification lecture material group project also provide useful feedback improve
476,WID3007,positive,4,god
477,WID3008,negative,2,workload right not_overburdening would love hand technical task
478,WID3008,positive,4,course learn process interactive allow collaborate coursemates course informative engage provide exposure experience need
479,WID3008,positive,5,curriculum structure well arrange creative immersive learning method enable interactive mutual learning session beneficial inspiring young dr
480,WID3008,positive,5,praise note dr excels align course program objective foster critical thinking functional skill interpersonal development highly commendable
481,WID3008,positive,5,course try teach everything image process 14 week basic intricate detail topic make student confused lot content could skip
482,WID3008,negative,1,lecturer not_know teach read slide not_provide detailed explanation
483,WID3008,positive,4,collaborative group work introduce sincerely enjoyed collaborative group work introduce learning process great opportunity apply revise skill
484,WID3008,negative,1,dr nurul knowledgeable responsible reach class 20 minute earlier already care patiently enlighten mistake midterm exam true professionalism
485,WID3008,positive,5,praise note dr ensure clear understand promotes interactive learn provide valuable feedback exceptional teaching encourages engagement understand
486,WID3008,positive,4,overall good enjoyed class lecturer patient willing help explain concept prepare u assignment exams
487,WID3008,positive,5,prefer natural way explain maybe go calculation together explain way easy understand formal term put sliderefer book
488,WID3008,positive,4,god
489,WID3008,positive,4,good
490,WID3008,positive,4,good
491,WID3008,neutral,3,research read eyeopening presentation team get overview many methodology
492,WID3008,positive,4,confidence
493,WID3008,positive,4,god
494,WID3008,positive,4,good
495,WID3008,negative,1,slide provide not_have lot information make u not_understand topic always tell u refer reference book thats case need lecturer
496,WID3008,positive,4,good
497,WID3008,positive,4,confidence
498,WID3008,positive,4,god
499,WID3008,positive,4,good
500,WID3008,positive,4,good
501,WID3008,positive,4,confidence
502,WID3009,positive,4,good
503,WID3009,positive,4,good
504,WID3009,positive,4,good
505,WID3009,positive,4,good
506,WID3009,positive,4,good
507,WID3009,positive,4,good
508,WID3009,positive,5,drs teach material helpful topic teach especially tutorial give real life application topic useful help student understand concept
509,WID3009,positive,4,slide could improve description less cover everything textbook
510,WID3009,positive,5,dr liew knowledgable educator care student learn wellbeing expressed concern exam schedule clash even followup afterwards care dr
511,WID3011,negative,2,lazy as please next semester not_hire lazy bastard
512,WID3014,positive,5,great teacher great course
513,WID3014,neutral,3,neglect provide feedback assignment demonstrate unfairness grading deny opportunity improvement despite absence timely feedback assignment
514,WIE3001,positive,4,best doctor ever
515,WIE3001,positive,4,handson implementation lab apply learn learn software
516,WIE3001,positive,4,make lecturer like dr liyana
517,WIE3007,negative,5,assignment requirement isnt state clearly not_final lecturer add requirement assignment almost every week unfair student start early
518,WIE3007,negative,2,fire use chatgpt not_replying student question didnt set clear criterion assignment keep add requirement week 14 course weirdly structure
519,WIE3007,neutral,3,critical thinking creativity problem solve skill well cultivate solve unnecessary problem bring lecturer
520,WIE3007,negative,2,prefer lecturer not_generating lecture slide tutorial question sample answer assignment exams even reply student use chatgpt
521,WIE3007,neutral,3,course informative lack good resource
522,WIE3007,positive,4,
523,WIE3007,positive,4,would strongly suggest organize teach well understand
524,WIE3007,negative,2,lecturer doesnt clear rubric assignment criterion early stage keep add new requirement along way increase lot burden student
525,WIE3007,positive,4,course content fine perhaps delivery might come not_what expect
526,WIE3007,negative,1,feedback lecturer sometimes unclear not_direct enough certain time question ask not_being properly answer
527,WIE3007,negative,1,fire fire fire fire fire fire fire fire fire fire fire fire fire fire fire fire fire fire fire fire fire fire fi
528,WIE3007,negative,1,lecturer not_use generative ai tool respond question response robotic flag ai detector hard not_to suspect use chatgpt reply
529,WIE3007,positive,4,lecturer unmotivated provide insightful feedback hope lecturer provide feedback domain expertise less use chatgpt answer question prepare resource
530,WIE3007,positive,4,
531,WIE3007,negative,1,well lecturer could take note student opinion assignment confuse overburden also question not_really answer even try get clarification
532,WIE3007,negative,1,content not_being deliver clearly student cant clear understand certain subject try approach dr detailed clarification not_being answer
533,WIE3007,negative,2,lecturer poor verbal pronunciation impatient student question lecturer verify information obtain chatgpt give student information
534,WIE3007,neutral,3,hard time learn prof teh
535,WIE3007,negative,2,prof teh ask u deliver additional requirement group project last minute not_structured
536,WIE3007,positive,4,lecturer not_answer student question use chatbot chatgpt assignment requirement instruction list well not_sudden addition new requirement
537,WIE3007,positive,5,dr please give clear articulation teach subject
538,WIE3007,positive,4,retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire retire reti
539,WIE3007,positive,4,
540,WIE3007,negative,2,file spectrum messy poorly organize difficult u find file
541,WIE3007,negative,2,con much theory compare handson lecturer demand handson result student not_guidance handson lecturer side
542,WIE3007,positive,4,assignment question need clear
543,WIE3007,positive,5,lecturer clear enunciation make sure student understand learn material
544,WIE3007,positive,4,instead focus theory read slide class would appreciate could jump practical use case especially related star schema
545,WIE3007,positive,5,please make course interactive sense learn demo software class discus dr ask question
